manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,age,avg,highEfficiency,origin,id
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact,23,0.3103448275862069,TRUE,foreign,1
audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact,23,0.3620689655172414,TRUE,foreign,2
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact,14,0.3225806451612903,TRUE,foreign,3
audi,a4,2,2008,4,auto(av),f,21,30,p,compact,14,0.35,TRUE,foreign,4
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact,23,0.3076923076923077,TRUE,foreign,5
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact,23,0.34615384615384615,TRUE,foreign,6
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,14,0.3333333333333333,TRUE,foreign,7
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact,23,0.34615384615384615,TRUE,foreign,8
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact,23,0.32,TRUE,foreign,9
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact,14,0.35714285714285715,TRUE,foreign,10
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact,14,0.35185185185185186,TRUE,foreign,11
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact,23,0.3,TRUE,foreign,12
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact,23,0.34,TRUE,foreign,13
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,14,0.34,TRUE,foreign,14
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,14,0.3,TRUE,foreign,15
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize,23,0.3125,TRUE,foreign,16
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,14,0.34,TRUE,foreign,17
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,14,0.34782608695652173,FALSE,foreign,18
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,14,0.35,FALSE,domestic,19
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,14,0.36666666666666664,FALSE,domestic,20
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,14,0.35,FALSE,domestic,21
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv,23,0.38235294117647056,FALSE,domestic,22
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv,14,0.35294117647058826,FALSE,domestic,23
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater,23,0.3076923076923077,TRUE,domestic,24
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater,23,0.32608695652173914,FALSE,domestic,25
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater,14,0.3076923076923077,TRUE,domestic,26
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater,14,0.3,TRUE,domestic,27
chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater,14,0.3125,TRUE,domestic,28
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv,14,0.3684210526315789,FALSE,domestic,29
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv,14,0.39285714285714285,FALSE,domestic,30
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv,23,0.36666666666666664,FALSE,domestic,31
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv,23,0.4117647058823529,FALSE,domestic,32
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize,23,0.35185185185185186,TRUE,domestic,33
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize,14,0.36666666666666664,TRUE,domestic,34
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,domestic,35
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize,14,0.3103448275862069,TRUE,domestic,36
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize,14,0.3269230769230769,TRUE,domestic,37
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan,23,0.375,TRUE,domestic,38
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan,23,0.3541666666666667,TRUE,domestic,39
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,23,0.36363636363636365,FALSE,domestic,40
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,23,0.36363636363636365,FALSE,domestic,41
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,14,0.3541666666666667,TRUE,domestic,42
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,14,0.3541666666666667,TRUE,domestic,43
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan,14,0.3235294117647059,FALSE,domestic,44
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan,23,0.3409090909090909,FALSE,domestic,45
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan,23,0.35714285714285715,FALSE,domestic,46
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan,14,0.34782608695652173,FALSE,domestic,47
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan,14,0.34782608695652173,FALSE,domestic,48
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup,14,0.39473684210526316,FALSE,domestic,49
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup,14,0.3888888888888889,FALSE,domestic,50
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup,23,0.38235294117647056,FALSE,domestic,51
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup,23,0.4117647058823529,FALSE,domestic,52
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,14,0.3684210526315789,FALSE,domestic,53
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,14,0.3684210526315789,FALSE,domestic,54
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,14,0.375,FALSE,domestic,55
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup,23,0.3235294117647059,FALSE,domestic,56
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,23,0.36666666666666664,FALSE,domestic,57
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv,23,0.38235294117647056,FALSE,domestic,58
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,14,0.38235294117647056,FALSE,domestic,59
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,14,0.375,FALSE,domestic,60
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,14,0.38235294117647056,FALSE,domestic,61
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv,23,0.34375,FALSE,domestic,62
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,14,0.3611111111111111,FALSE,domestic,63
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv,23,0.36666666666666664,FALSE,domestic,64
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,14,0.375,FALSE,domestic,65
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,14,0.375,FALSE,domestic,66
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,14,0.38235294117647056,FALSE,domestic,67
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,14,0.38235294117647056,FALSE,domestic,68
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,14,0.375,FALSE,domestic,69
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup,14,0.375,FALSE,domestic,70
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,23,0.36666666666666664,FALSE,domestic,71
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup,23,0.34375,FALSE,domestic,72
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup,14,0.38235294117647056,FALSE,domestic,73
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup,23,0.36666666666666664,FALSE,domestic,74
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv,23,0.3235294117647059,FALSE,domestic,75
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,23,0.3235294117647059,FALSE,domestic,76
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,14,0.3333333333333333,FALSE,domestic,77
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,23,0.4117647058823529,FALSE,domestic,78
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv,23,0.39473684210526316,FALSE,domestic,79
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,23,0.4117647058823529,FALSE,domestic,80
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv,14,0.34210526315789475,FALSE,domestic,81
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,14,0.34210526315789475,FALSE,domestic,82
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv,23,0.38235294117647056,FALSE,domestic,83
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup,23,0.4117647058823529,FALSE,domestic,84
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup,23,0.4117647058823529,FALSE,domestic,85
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup,23,0.40625,FALSE,domestic,86
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup,23,0.40625,FALSE,domestic,87
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup,14,0.38235294117647056,FALSE,domestic,88
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup,23,0.36666666666666664,FALSE,domestic,89
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup,14,0.38235294117647056,FALSE,domestic,90
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact,23,0.34615384615384615,TRUE,domestic,91
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact,23,0.36,TRUE,domestic,92
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact,14,0.3269230769230769,TRUE,domestic,93
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact,14,0.3333333333333333,TRUE,domestic,94
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact,23,0.35714285714285715,FALSE,domestic,95
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact,23,0.3409090909090909,FALSE,domestic,96
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact,14,0.32608695652173914,FALSE,domestic,97
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact,14,0.3409090909090909,FALSE,domestic,98
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact,14,0.35,FALSE,domestic,99
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact,23,0.42424242424242425,TRUE,foreign,100
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,23,0.375,TRUE,foreign,101
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact,23,0.390625,TRUE,foreign,102
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact,23,0.39655172413793105,TRUE,foreign,103
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,23,0.375,TRUE,foreign,104
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact,14,0.38235294117647056,TRUE,foreign,105
honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact,14,0.3472222222222222,TRUE,foreign,106
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact,14,0.3333333333333333,TRUE,foreign,107
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact,14,0.3620689655172414,TRUE,foreign,108
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,109
hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize,23,0.3333333333333333,TRUE,foreign,110
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize,14,0.35,TRUE,foreign,111
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize,14,0.3387096774193548,TRUE,foreign,112
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,113
hyundai,sonata,2.5,1999,6,manual(m5),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,114
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize,14,0.3392857142857143,TRUE,foreign,115
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact,23,0.36538461538461536,TRUE,foreign,116
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact,23,0.3275862068965517,TRUE,foreign,117
hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact,14,0.35714285714285715,TRUE,foreign,118
hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact,14,0.37037037037037035,TRUE,foreign,119
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact,14,0.3541666666666667,TRUE,foreign,120
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact,14,0.3333333333333333,TRUE,foreign,121
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact,14,0.3541666666666667,TRUE,foreign,122
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv,14,0.38636363636363635,FALSE,domestic,123
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv,14,0.39473684210526316,FALSE,domestic,124
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv,23,0.375,FALSE,domestic,125
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv,23,0.4117647058823529,FALSE,domestic,126
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,14,0.375,FALSE,domestic,127
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv,14,0.3684210526315789,FALSE,domestic,128
